Source:,D:/work/LCSDR/src/KiCad/main/main.sch
Date:,2015-9-20 15:49:15
Tool:,"Eeschema (2015-09-17 BZR 6202, Git 3adff48)-product"
Generator:,bom_csv_grouped_by_value.py
Component Count:,197

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
29,3,"R501, R512, R514",1Meg,device:R,Resistors_SMD:R_0805,
30,2,"R507, R508",2.2k,device:R,Resistors_SMD:R_0805,
31,1,R509,20k,device:R,Resistors_SMD:R_0805,
32,1,RV401,DUAL_POT_WITH_SHIELD,my:DUAL_POT_WITH_SHIELD,my:RK09L12,
33,1,S401,Encoder_with_swith,my:Encoder_with_swith,my:EC11B15242A,
34,2,"SW401, SW501",SW_PUSH,device:SW_PUSH,my:SW_SPST_FSMSM,
35,2,"U201, U202",LMR10515-SOT23,my:LMR10515-SOT23,TO_SOT_Packages_SMD:SOT-23-5,
36,1,U203,XC6SLX25-FTG256,xilinx-spartan6:XC6SLX25-FTG256,my:BGA-256_pitch1mm_dia0.4mm,
37,2,"U204, U205",General_SOT223_LDO,my:General_SOT223_LDO,TO_SOT_Packages_SMD:SOT-223,
38,1,U301,AD92x8,my:AD92x8,Housings_QFP:LQFP-64_7x7mm_Pitch0.4mm,
39,1,U302,25_Serial_Flash_8_Pin,my:25_Serial_Flash_8_Pin,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,
40,3,"U401, U402, U403",74AHC1G04,74xx:74AHC1G04,TO_SOT_Packages_SMD:SOT-23-5,
41,1,U404,UDA1334,my:UDA1334,Housings_SSOP:SSOP-16_4.4x5.2mm_Pitch0.65mm,
42,1,U405,TDA2822M,my:TDA2822M,Housings_DIP:DIP-8_W7.62mm,
43,1,U406,MCP3202,my:MCP3202,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
44,1,U407,MCP48x2,my:MCP48x2,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
45,1,U501,24C16,memory:24C16,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
46,1,X401,4-Pin_Oscillator,my:4-Pin_Oscillator,my:oscillator_4Pin_5032_7050,
47,1,Y501,Crystal,device:Crystal,Crystals:Crystal_HC49-U_Vertical,
